id,student_name,team,project_name,technologies
1,Alice Martin,1,Assistant de revision IA,"Python, OpenAI API, React"
2,Thomas Bernard,1,Assistant de revision IA,"Python, OpenAI API, React"
3,Sophie Durand,2,Correcteur de code automatique,"Python, Flask, Docker"
4,Karim Haddad,2,Correcteur de code automatique,"Python, Flask, Docker"
5,Lea Petit,3,Generateur de flashcards,"JavaScript, Node.js, MongoDB"
6,Hugo Dubois,3,Generateur de flashcards,"JavaScript, Node.js, MongoDB"
7,Manon Moreau,3,Generateur de flashcards,"JavaScript, Node.js, MongoDB"
8,Nicolas Laurent,4,Chatbot d'orientation,"Python, Rasa, PostgreSQL"
9,Camille Simon,4,Chatbot d'orientation,"Python, Rasa, PostgreSQL"
10,Julien Michel,4,Chatbot d'orientation,"Python, Rasa, PostgreSQL"
11,Sarah Garcia,5,Detecteur de plagiat,"Python, scikit-learn, FastAPI"
12,Antoine Roux,5,Detecteur de plagiat,"Python, scikit-learn, FastAPI"
13,Ines Fournier,5,Detecteur de plagiat,"Python, scikit-learn, FastAPI"
14,Maxime Girard,6,Plateforme de tutorat peer-to-peer,"React, Node.js, Firebase"
15,Chloe Bonnet,6,Plateforme de tutorat peer-to-peer,"React, Node.js, Firebase"
16,Louis Francois,6,Plateforme de tutorat peer-to-peer,"React, Node.js, Firebase"
17,Emma Mercier,7,Resumeur de cours automatique,"Python, Hugging Face, Streamlit"
18,Adam Faure,7,Resumeur de cours automatique,"Python, Hugging Face, Streamlit"
19,Zoe Andre,8,Quiz generatif,"JavaScript, Vue.js, SQLite"
20,Mathis Lefevre,8,Quiz generatif,"JavaScript, Vue.js, SQLite"
21,Jade Rousseau,9,Suivi de progression etudiant,"Python, Django, PostgreSQL"
22,Gabriel Blanc,9,Suivi de progression etudiant,"Python, Django, PostgreSQL"
23,Lucie Guerin,9,Suivi de progression etudiant,"Python, Django, PostgreSQL"
24,Nathan Muller,9,Suivi de progression etudiant,"Python, Django, PostgreSQL"
25,Anna Henry,10,Traducteur de supports de cours,"Python, OpenAI API, Flask"
26,Enzo Roussel,10,Traducteur de supports de cours,"Python, OpenAI API, Flask"
27,Lina Nicolas,11,Recommandation de ressources pedagogiques,"Python, TensorFlow, React"
28,Rayan Perrin,11,Recommandation de ressources pedagogiques,"Python, TensorFlow, React"
29,Eva Morin,12,Analyseur de feedback etudiant,"Python, NLTK, Docker"
30,Tom Mathieu,12,Analyseur de feedback etudiant,"Python, NLTK, Docker"
